City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
320,Ilulissat,GL,69.2167,-51.1,35.62,64,40,2.3,scattered clouds
321,Alyangula,AU,-13.8483,136.4192,77.23,66,21,7.02,few clouds
322,Abalak,RU,58.1286,68.5944,26.46,83,9,5.28,clear sky
323,Calmar,CA,53.2668,-113.8187,59.29,77,0,9.22,clear sky
324,Totness,SR,5.8833,-56.3167,88.3,59,15,11.23,few clouds
325,Saint-Joseph,RE,-21.3667,55.6167,68.38,75,27,11.41,scattered clouds
326,Sur,OM,22.5667,59.5289,82.56,73,0,11.74,clear sky
327,Mehamn,NO,71.0357,27.8492,40.91,100,100,2.3,overcast clouds
328,Fortuna,US,40.5982,-124.1573,53.94,38,68,2.84,broken clouds
329,Vila Velha,BR,-20.3297,-40.2925,76.95,74,75,12.66,broken clouds
330,Tiznit,MA,29.5833,-9.5,76.24,38,36,7.47,scattered clouds
331,Haimen,CN,23.1935,116.6142,80.49,87,0,4.61,clear sky
332,San Quintin,MX,30.4833,-115.95,68.99,72,96,7.43,overcast clouds
333,Fujin,CN,47.26,132.0322,46.15,67,71,3.94,broken clouds
334,Ous,RU,60.9058,61.5186,32.25,83,100,6.22,overcast clouds
335,Kupang,ID,-10.1667,123.5833,79.32,82,85,4.43,overcast clouds
336,Gawler,AU,-34.6,138.7333,60.17,69,0,8.14,clear sky
337,Bud,US,39.447,-86.1758,70.86,51,0,14.05,clear sky
338,Presidente Medici,BR,-11.1753,-61.9014,91.58,40,61,1.32,broken clouds
339,Otane,NZ,-39.8833,176.6333,51.01,99,100,4.12,light rain
340,Sisimiut,GL,66.9395,-53.6735,35.49,84,99,10.04,overcast clouds
341,Coihaique,CL,-45.5752,-72.0662,57.15,30,0,3.44,clear sky
342,Cortez,US,37.3489,-108.5859,57.96,67,100,0.0,overcast clouds
343,Phuntsholing,BT,26.8516,89.3884,76.55,81,14,6.2,few clouds
